mssv,xeploai,ngaycapvb
8be31df9xpvaibaexe8wd3qnvg2b/cokjn6hzn9r,khá,10/04/2018
3669079dxpvaibaexe8wd3qnvg2b/xo6z5vgibam,giỏi,10/04/2018
63d15452xpvaibaexe/x/wixypgyap8isojndrt3,khá,10/04/2018
78b2ec5bxpvaibaexe9aucnq7/14anpk5av8eask,giỏi,10/04/2018
9a105ef9xpvaibaexe9aucnq7/14ahde9pheoxri,giỏi,10/04/2018
33a535c8xpvaibaexe9e+kue/nfliwy7m6t8xklq,khá,10/04/2018
a2ce0ed3xpvaibaexe/7sxkigc7f54exmsxgxstu,khá,10/04/2018
a9928b90xpvaibaexe/+pcsgi7ykethdhkcrgsaj,giỏi,10/04/2018
2ce33a2expvaibaexe+udhzq6i3zlr6f2c3js/1u,khá,10/04/2018
b07db2d5xpvaibaexe8wmpkqnq7j6pel0jgtud9x,giỏi,10/04/2018
a793eaa2xpvaibaexe9ystifngomwtb47/np51+z,khá,10/04/2018
fe25a31fxpvaibaexe9ystifngomwxlm1kasxzuv,khá,10/04/2018
1c3d8b35xpvaibaexe+phkfqb0+xj8adrgrkhkpg,giỏi,10/04/2018
91851198xpvaibaexe+phkfqb0+xjw6szcgpmtvz,giỏi,10/04/2018
292a16a3xpvaibaexe/fejqn8/s5fll7v93zx8+w,khá,10/04/2018
bd8e0272xpvaibaexe9mlbi3ccq2bm8g4ydm6in2,khá,10/04/2018
7dca17f0xpvaibaexe/bqa0y8r3trbiq3yeyjmvk,trung bình khá,10/04/2018
859ff4b4xpvaibaexe/v2df0qjs8bs+3ghpttevf,khá,10/04/2018
55d02cb4xpvaibaexe9m021ivaawiaql8baljrn4,khá,10/04/2018
e6647b6fxpvaibaexe9m021ivaawic3zcrodgrh+,khá,10/04/2018
15e504fbxpvaibaexe+gstdvgy5pdj0kmwuzl7mo,khá,10/04/2018
78c83a07xpvaibaexe/6muscaequczqi0uobeamo,khá,10/04/2018
c63128f5xpvaibaexe9z67almz7y5mrp6fb5mbab,khá,10/04/2018
08fb263bxpvaibaexe9z67almz7y5semmakozmbp,khá,10/04/2018
cb92ee09xpvaibaexe9bx5czuia9zwd+syzulcor,khá,10/04/2018
f423b999xpvaibaexe+5ocrqpdkxsvytiknvezf/,khá,10/04/2018
765e7421xpvaibaexe/wso41+3xfknck3zar20/p,khá,10/04/2018
7a0b9ea9xpvaibaexe8jolcsaisstdc9dk3xv1vm,khá,10/04/2018
c47110efxpvaibaexe/pgaannwvbuf95kjjbq6bs,khá,16/04/2018
dafce097xpvaibaexe+z7kfnhylttksb/kdm5tuz,giỏi,16/04/2018
17abff8bxpvaibaexe9ystifngomwyziolufgf2y,khá,16/04/2018
534f880cxpvaibaexe/caex4rna5qyi8oannuivw,giỏi,10/04/2018
4afe5a8expvaibaexe9mlbi3ccq2bmqcbjt1z6h0,khá,16/04/2018
e9bbdefaxpvaibaexe/dy4k4yiqpocegcj6wyi83,khá,16/04/2018
a3aa35cexpvaibaexe9hkuc7sboljovythh2eau+,khá,16/04/2018
2f7887f7xpvaibaexe/bqa0y8r3trdledx8jxg9h,khá,16/04/2018
1a44afdbxpvaibaexe9bx5czuia9z94nqdrzpjbc,giỏi,16/04/2018
41b3f412xpvaibaexe9vickmsmm7nxtj8jg4gzhv,khá,16/04/2018
441a8f18xpvaibaexe9h45nafhfkyu2deqgra5oc,khá,10/04/2018
88c15831xpvaibaexe879+aog1gh8umwwp9sxqnj,khá,26/04/2018
514fd131xpvaibaexe9fiasoce50do+lfazinhdy,khá,26/04/2018
712a8c08xpvaibaexe8ooyk4mkugmhqpu9hwabud,trung bình khá,26/04/2018
6bda77faxpvaibaexe9mq7mbxxp/m9wszm9sf7d3,khá,26/04/2018
51e1c3e0xpvaibaexe+4hxkfaqwuhlp2zzmiiyre,giỏi,26/04/2018
c2100719xpvaibaexe/bqa0y8r3trcj/jtkxsbzj,khá,26/04/2018
b27fb769xpvaibaexe9m021ivaawin/1gsru7xde,trung bình khá,26/04/2018
929fe9b5xpvaibaexe+y4ivhjp8sxnph/35y1toa,khá,26/04/2018
06bfa130xpvaibaexe/+pcsgi7ykesntp5em9h+w,trung bình khá,03/07/2018
f25b47bfxpvaibaexe99j2p15eeb08btadzknean,giỏi,03/07/2018
882d2ec2xpvaibaexe/hrmbtv6rchtnvod3xwr86,khá,03/07/2018
b7a4bfebxpvaibaexe9e+kue/nfliz33muv8ypen,trung bình khá,03/07/2018
3c7c12efxpvaibaexe/k62dfafrqtjvxd+9viwqj,khá,03/07/2018
85100785xpvaibaexe9fiasoce50do/iakolpo0o,khá,03/07/2018
1fd78e1axpvaibaexe+suupvsau/ow72fke6z3mz,khá,03/07/2018
ec3c87c3xpvaibaexe8hvnm4ihlelaulgdayulj6,trung bình khá,03/07/2018
1f900c98xpvaibaexe/bn5cqsu92wfoxpcmtu1cx,khá,03/07/2018
59f1b1f6xpvaibaexe/7sxkigc7f59hetoifbzsv,khá,03/07/2018
bc65d2e0xpvaibaexe/fejqn8/s5fezi8hvygtax,khá,03/07/2018
