mssv,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh,tinhtrang,nambd
46dcba42xpvaibaexe/ggxgrg2iezsmx6uw5kvvm,2001.0,1.0,hồ chí minh,htcl2019.1,httt,clc,14.0,d480104,1.0,2019.0
2d3156f6xpvaibaexe/ggxgrg2iezormtuhwd8m7,2001.0,1.0,hồ chí minh,cttt2019.1,httt,cttt,14.0,d480104,1.0,2019.0
c9791462xpvaibaexe/ggxgrg2iezua0xc2iigca,2001.0,1.0,quảng nam,pmcl2019.2,cnpm,clc,14.0,d480103,1.0,2019.0
0c79af2fxpvaibaexe/ggxgrg2iezlmvwibf3n1i,2001.0,1.0,đắk lắk,cntt2019,kttt,cqui,14.0,d480201,1.0,2019.0
4d74930fxpvaibaexe+0nhjb2tgox/kq6cfdzyjd,2001.0,1.0,đồng tháp,mmcl2019.1,mmt&tt,clc,14.0,7480102,1.0,2019.0
d02b3e50xpvaibaexe+0nhjb2tgox2od1orriyve,2001.0,1.0,thanh hoá,cttt2019.1,httt,cttt,14.0,d480104,1.0,2019.0
d25827f6xpvaibaexe+0nhjb2tgoxze2tw+aidfj,2001.0,1.0,lâm đồng,khcl2019.2,khmt,clc,14.0,d480101,1.0,2019.0
b89d68f9xpvaibaexe+0nhjb2tgox1psizhspax/,2001.0,1.0,lâm đồng,httt2019,httt,cqui,14.0,d480104,1.0,2019.0
6b04b614xpvaibaexe+0nhjb2tgox0w7aiexq6os,2001.0,1.0,bến tre,attt2019,mmt&tt,cqui,14.0,d480299,5.0,2019.0
d066436bxpvaibaexe+0nhjb2tgoxwmumqo7iptt,2001.0,1.0,quảng nam,pmcl2019.2,cnpm,clc,14.0,d480103,1.0,2019.0
b2a4d1e3xpvaibaexe+0nhjb2tgoxxyntinfu/tl,2001.0,1.0,khánh hoà,cncl2019.2,kttt,clc,14.0,7480201_clcn,1.0,2019.0
6555b450xpvaibaexe+0nhjb2tgox98nexm3l3rf,2001.0,1.0,long an,htcl2019.1,httt,clc,14.0,d480104,1.0,2019.0
d2a50a16xpvaibaexe+0nhjb2tgox1cvaazml2kg,2001.0,1.0,thanh hoá,cntt2019,kttt,cqui,14.0,d480201,1.0,2019.0
ab4fa6e4xpvaibaexe+0nhjb2tgoxxstscvqw/ek,2001.0,0.0,thái bình,cttt2019.1,httt,cttt,14.0,d480104,1.0,2019.0
25d5cc0expvaibaexe8zi/zlizsiuo66pvtt9mgk,2001.0,0.0,bình thuận,htcl2019.1,httt,clc,14.0,d480104,1.0,2019.0
06cab726xpvaibaexe8zi/zlizsiulmd7jnj+ekw,2001.0,1.0,hồ chí minh,tmcl2019.1,httt,clc,14.0,d480104,1.0,2019.0
e1497ddaxpvaibaexe8zi/zlizsiun1erxvatenk,2001.0,1.0,quảng ngãi,cntt2019,kttt,cqui,14.0,d480201,1.0,2019.0
caf15d10xpvaibaexe8zi/zlizsiunzrulp5nev2,2001.0,1.0,bình phước,attt2019,mmt&tt,cqui,14.0,d480299,1.0,2019.0
80cdddf4xpvaibaexe8zi/zlizsiumk6tti8zbue,2001.0,1.0,bắc giang,cttt2019.1,httt,cttt,14.0,d480104,1.0,2019.0
b123f1a6xpvaibaexe8zi/zlizsiuabuinvtcr2/,2001.0,1.0,nam định,khdl2019,kttt,cqui,14.0,7480109,1.0,2019.0
4fbef019xpvaibaexe8zi/zlizsiuamdfdgpib61,2001.0,1.0,thừa thiên - huế,cncl2019.2,kttt,clc,14.0,7480201_clcn,1.0,2019.0
abe403f3xpvaibaexe8zi/zlizsiuccf7eh0896p,2001.0,1.0,nghệ an,mtcl2019.2,ktmt,clc,14.0,d520214,5.0,2019.0
ef36af15xpvaibaexe8zi/zlizsiug9jjz/qeb52,2001.0,1.0,bình định,htcl2019.1,httt,clc,14.0,d480104,1.0,2019.0
c95446eaxpvaibaexe8zi/zlizsiuptvoesp3gt7,2001.0,1.0,khánh hoà,mmcl2019.1,mmt&tt,clc,14.0,7480102,2.0,2019.0
2d3b9ff1xpvaibaexe/umsx+yo/cnzfnrtruvwq8,2001.0,1.0,bình dương,cncl2019.2,kttt,clc,14.0,7480201_clcn,1.0,2019.0
525c8a2axpvaibaexe/umsx+yo/cnzgxdmagy14w,2001.0,1.0,đồng nai,tmcl2019.2,httt,clc,14.0,d480104,1.0,2019.0
5e056160xpvaibaexe/umsx+yo/cn1guczu4xrvw,2001.0,1.0,đắk lắk,ktmt2019,ktmt,cqui,14.0,d520214,2.0,2019.0
9b9baaacxpvaibaexe/umsx+yo/cnz7ecy1oek21,2001.0,1.0,kon tum,khmt2019,khmt,cqui,14.0,d480101,1.0,2019.0
9dff16a3xpvaibaexe/umsx+yo/cn7vhhmbguosq,2001.0,1.0,bình dương,mtcl2019.2,ktmt,clc,14.0,d520214,1.0,2019.0
7a2e0edbxpvaibaexe/umsx+yo/cn8c6cpw6bq3t,2001.0,1.0,đắk lắk,khmt2019,khmt,cqui,14.0,d480101,1.0,2019.0
c6fca5b1xpvaibaexe/umsx+yo/cn2w6ssbd4iqg,2001.0,1.0,đắk lắk,atcl2019.2,mmt&tt,clc,14.0,d480299,1.0,2019.0
15463acbxpvaibaexe/umsx+yo/cn1n4h27qoemk,2001.0,1.0,đắk lắk,pmcl2019.2,cnpm,clc,14.0,d480103,1.0,2019.0
d8674c33xpvaibaexe/umsx+yo/cn/0tvysvnokn,2001.0,1.0,ninh thuận,httt2019,httt,cqui,14.0,d480104,1.0,2019.0
c874cfe6xpvaibaexe8wj1bwonrkyrz7qu3p/e1s,2001.0,1.0,đắk lắk,pmcl2019.2,cnpm,clc,14.0,d480103,1.0,2019.0
e5560794xpvaibaexe8wj1bwonrkywdzepbdtbs1,2001.0,1.0,lâm đồng,pmcl2019.2,cnpm,clc,14.0,d480103,1.0,2019.0
d8b465bdxpvaibaexe8wj1bwonrkyrtz/y+njude,1992.0,1.0,bình phước,ktpm2019,cnpm,cqui,14.0,d480103,1.0,2019.0
