mssv,tinhtrang,hocky,namhoc
07cd6433xpvaibaexe+02rynj/uixwtqn+gwpm6m,2.0,2.0,2016.0
e63fe147xpvaibaexe+ld9vp5i9+1rq+vnnuff9r,2.0,2.0,2016.0
de1c24a0xpvaibaexe8wd3qnvg2b/zhfx1sm89m4,2.0,2.0,2016.0
cd84523expvaibaexe+llvbxzunmja9yrcwsmo7a,2.0,2.0,2016.0
d251e033xpvaibaexe9bx5czuia9z46xio31xdch,2.0,2.0,2016.0
a77e224expvaibaexe+uuz4qw1xos1chjcsxdmhf,2.0,2.0,2016.0
fb31658fxpvaibaexe+uuz4qw1xosw1ns1gnsk23,2.0,2.0,2016.0
43fdc210xpvaibaexe+9waygb66rlkvk2zxbj0s3,2.0,2.0,2016.0
abdab051xpvaibaexe/nexuu8f5ch1srshigszki,2.0,2.0,2016.0
80dc25adxpvaibaexe9djwuq+cta8tj0gcpyeakf,2.0,2.0,2016.0
e0cea108xpvaibaexe9rv3kg6cpldm1mw2kbbkz6,2.0,2.0,2016.0
8deee6b7xpvaibaexe+k2gcw0rzzlarflldgczmw,2.0,2.0,2016.0
bda2eb38xpvaibaexe/f8uibt+n0tzbmtk+02zml,2.0,2.0,2016.0
a5c940adxpvaibaexe+02rynj/uix/nt9ycujwyv,2.0,2.0,2016.0
4432ac56xpvaibaexe8+pbtaprlcy/ywfv4cmiqy,2.0,2.0,2016.0
58866649xpvaibaexe+p5wobbwd0m1lt7kmwf5su,2.0,2.0,2016.0
9c5c5c15xpvaibaexe+d5c9re7eglsun3d4zgxa/,2.0,2.0,2016.0
1c5409b8xpvaibaexe+/1kyxp+fweaeoybmrmhfs,2.0,2.0,2016.0
a70f6eccxpvaibaexe+4hxkfaqwuhgfmu3pmgcng,2.0,2.0,2016.0
7320a91expvaibaexe/eckq6i30zsh+h6g9bggsf,2.0,2.0,2016.0
d0905d53xpvaibaexe+3ze134gecv79iy/cbvuyx,2.0,2.0,2016.0
e8ef5fecxpvaibaexe9npw4gelgywc8qu4fcrzoz,2.0,2.0,2016.0
76497f14xpvaibaexe+p5wobbwd0m4k8duzy96oe,2.0,2.0,2016.0
843e09d5xpvaibaexe+wvosof63ssa/smccbpheo,2.0,2.0,2016.0
0ad9733bxpvaibaexe+e+n9mgynej18cbd4pz+8q,2.0,2.0,2016.0
07426a2dxpvaibaexe/wiuwn3fbmgftuujbl3l6v,2.0,2.0,2016.0
bebedf03xpvaibaexe+zcbazes7yigfir0zzgiut,2.0,2.0,2016.0
8fba7352xpvaibaexe+a+6mrsshfh2znazayp3oa,2.0,2.0,2016.0
df7b8119xpvaibaexe8tcemjjxtx9jubcbxfwq4z,2.0,2.0,2016.0
da324490xpvaibaexe9g2n4phuxiskrqsrohvin+,2.0,2.0,2016.0
01b52be5xpvaibaexe9eypx3anxxhoetgoewyzrn,2.0,2.0,2016.0
667d7118xpvaibaexe9fafwyru+npl+ytdtch0qt,5.0,2.0,2016.0
c78857daxpvaibaexe+uuz4qw1xos0cut9cey9z/,5.0,2.0,2016.0
c1732776xpvaibaexe+uuz4qw1xos0uzyqgzu4fr,5.0,2.0,2016.0
6d3c6b7cxpvaibaexe+ralerolzghyxwh+rizcay,5.0,2.0,2016.0
dec271bcxpvaibaexe8wd3qnvg2b/xsmishc1tc+,5.0,2.0,2016.0
7e990c2expvaibaexe9whl/t4cdmzaqmm5bdjcos,5.0,2.0,2016.0
65a8ce1expvaibaexe+tg0ae8qw/gqdz/d+/k6ii,5.0,2.0,2016.0
c79d845fxpvaibaexe/nok7qdnjjrlwbti3yyrwf,5.0,2.0,2016.0
655d3509xpvaibaexe+tzke2gc8nup5zkp7ypfiy,5.0,2.0,2016.0
1c404c8fxpvaibaexe8p5yvhqtpes4pecqw39/sx,5.0,2.0,2016.0
937338dfxpvaibaexe/3z2k7mha0jwd7iecx0cfz,5.0,2.0,2016.0
18a5e53dxpvaibaexe9iov3kwpg5dtxd7sek6lpt,5.0,2.0,2016.0
4bf55c16xpvaibaexe/pgaannwvbulyxtwnjnzcf,5.0,2.0,2016.0
83b76c01xpvaibaexe/loccskaoio2k46r7t4qnt,5.0,2.0,2016.0
1feca093xpvaibaexe/lh6v1xxtkjdfji/k7qsbq,5.0,2.0,2016.0
1030a271xpvaibaexe/7sxkigc7f55u1tfrbvqkh,5.0,2.0,2016.0
a37f289cxpvaibaexe8hxolow72zidi64kxsz6q8,5.0,2.0,2016.0
8746d01expvaibaexe+ralerolzghyncx5axfxis,5.0,2.0,2016.0
fecdca31xpvaibaexe+z64gg7q108bovij1tosym,5.0,2.0,2016.0
3622e58bxpvaibaexe9lf2o7vejwnjkh+xdoxpbr,5.0,2.0,2016.0
459d95b4xpvaibaexe917pyvj9jl7wd9anpknbsp,5.0,2.0,2016.0
737e06f3xpvaibaexe/cipillltjf2tjcgiyewfr,5.0,2.0,2016.0
7cb9fc96xpvaibaexe9wctnuikkykhwcw6m7z4ne,5.0,2.0,2016.0
c57530a4xpvaibaexe8hvnm4ihlelvtcbud7ztlv,5.0,2.0,2016.0
ac307607xpvaibaexe9ystifngomwzzfzwevu8ni,5.0,2.0,2016.0
6e0acd73xpvaibaexe//3t8+us0x0ijshxvug3ty,5.0,2.0,2016.0
da31fd78xpvaibaexe+xxbs4kvh/k/iub/eqqobb,5.0,2.0,2016.0
f1894f08xpvaibaexe9z0fdyfukzh5uduaqyzbmt,5.0,2.0,2016.0
48a69db2xpvaibaexe+e+n9mgynej5+96loirvor,5.0,2.0,2016.0
1fa0b083xpvaibaexe/q6c3bndaquely0cmhno+m,5.0,2.0,2016.0
f5d9d9a8xpvaibaexe/q6c3bndaquah+ogljwe4b,5.0,2.0,2016.0
bd62fc46xpvaibaexe8/v1ek05z04+aku3v8kegp,5.0,2.0,2016.0
e879b5c5xpvaibaexe81w9evvyp+l3aurvct22d5,5.0,2.0,2016.0
c8bc28cbxpvaibaexe9cps/fvpb+n2roxohl1v+l,5.0,2.0,2016.0
b2f218b4xpvaibaexe9ndaclo3+sv2jzyre1jmlj,5.0,2.0,2016.0
2d7bd4caxpvaibaexe8bxozlghryn1ehnv20woui,5.0,2.0,2016.0
9d4dc194xpvaibaexe+pzu+khqbqyqh7gik4pjkc,5.0,2.0,2016.0
66c7067dxpvaibaexe8enouoh243g0boy5+gdzi7,5.0,2.0,2016.0
a59ff9a4xpvaibaexe8yaj+xvjgnazggaiqc/www,5.0,2.0,2016.0
590c5a22xpvaibaexe/5sy0p9d9+eifjn53f5ry7,5.0,2.0,2016.0
37bf549bxpvaibaexe8hlnatuvcg+vlp2syvvtds,5.0,2.0,2016.0
371d7c02xpvaibaexe9rbno8knvpd6nhpmeb17yk,5.0,2.0,2016.0
32faba11xpvaibaexe97ykczitj7gthc4kp4hx9k,5.0,2.0,2016.0
c21a84a1xpvaibaexe97ykczitj7gruq8iiia3cc,5.0,2.0,2016.0
95921b9cxpvaibaexe+sgbkufuin7o+pecbjlp5n,5.0,2.0,2016.0
cf658d42xpvaibaexe+pzu+khqbqysfanzlghkk8,5.0,2.0,2016.0
8ce77ecbxpvaibaexe/d4nfnihfaqqfh76bzfxpr,5.0,2.0,2016.0
ffdfd671xpvaibaexe8/3inqysorb8gpuwsq8fwa,5.0,2.0,2016.0
668068e2xpvaibaexe/vttmkh7juokfzkul+030e,5.0,2.0,2016.0
2086199expvaibaexe9qk6hduwkqxycenefk6wn/,5.0,2.0,2016.0
269a6330xpvaibaexe8ammuwimhl4vfi0ozjfgky,5.0,2.0,2016.0
0e1136edxpvaibaexe+cd2dfyrnotz0bfymekkp6,5.0,2.0,2016.0
0cbdeb0cxpvaibaexe/rtk4wdmxi9/bnl79ebcg7,5.0,2.0,2016.0
733bea2fxpvaibaexe+hel85qgo03sv+zdvcq1yv,5.0,2.0,2016.0
e697153axpvaibaexe9djwuq+cta8vb4evb25cmd,5.0,2.0,2016.0
40898878xpvaibaexe/iikjq57vd79yd2cj3c3yz,5.0,2.0,2016.0
6321eb33xpvaibaexe+fpsoag5letxtsqe66tjtg,5.0,2.0,2016.0
17416684xpvaibaexe88l+jen4tpm1dcv0jkw40c,5.0,2.0,2016.0
61f9bd19xpvaibaexe8ptkrjyotmh4ktprpzmqsf,5.0,2.0,2016.0
b66497ffxpvaibaexe9czqytkm8+atbklr0/5mxn,5.0,2.0,2016.0
82ac5317xpvaibaexe+qnco6wu+o6nd8gflrub4k,5.0,2.0,2016.0
8d2f7d47xpvaibaexe+k2gcw0rzzlw/9hi+mqcpv,5.0,2.0,2016.0
966045e9xpvaibaexe+fpsoag5letv364e+7hhg8,5.0,2.0,2016.0
5a5fcfa8xpvaibaexe+cd2dfyrnot7wmlqmvy39o,5.0,2.0,2016.0
c5bf654axpvaibaexe9cps/fvpb+nwkhww287xb1,5.0,2.0,2016.0
fe6b6bd2xpvaibaexe+ld9vp5i9+1qcjzhpthmki,5.0,2.0,2016.0
371d7c02xpvaibaexe9rbno8knvpd6nhpmeb17yk,2.0,2.0,2016.0
5236793dxpvaibaexe8ge2uhv4j4b3ck3m4mi0jb,2.0,1.0,2017.0
02fa9b28xpvaibaexe9hpqqhqoopyx9isjjx1yiu,2.0,1.0,2017.0
682c32e0xpvaibaexe/bn5cqsu92wx0dcikdud8d,2.0,1.0,2017.0
1d20ed25xpvaibaexe8wlx2/dthdaqwopv1dttl1,2.0,1.0,2017.0
7901d3a9xpvaibaexe+6mn9fow2mqyemruxxbnss,2.0,1.0,2017.0
20edfe1expvaibaexe9esuilq3v71hhiir/gp7hl,2.0,1.0,2017.0
82d67ff0xpvaibaexe9bx5czuia9z+ymynrbj6fr,2.0,1.0,2017.0
b527f688xpvaibaexe9u/k5zyzont1/sqtzrnrnp,2.0,1.0,2017.0
3eb5ae2expvaibaexe9tdh69vvzt18hvvztcema7,2.0,1.0,2017.0
7fbd0513xpvaibaexe+ltcxpm838vaxt1zhb2ina,2.0,1.0,2017.0
1151008expvaibaexe/iduy0411cjrt6oqbjaqek,2.0,1.0,2017.0
bac0d992xpvaibaexe/dmvqguzybhm+z5fuq42cm,2.0,1.0,2017.0
a5cfc3eaxpvaibaexe8v1/72rbobbqbhkdh9w0n8,2.0,1.0,2017.0
fdca1f81xpvaibaexe+xw+0gojor0flmrnx/+tzg,2.0,1.0,2017.0
9750faa7xpvaibaexe9o3csonuwuvp7wz1a+yf8r,2.0,1.0,2017.0
c5d19041xpvaibaexe+njimjch3vhgzbbbwixtpf,2.0,1.0,2017.0
ae8066bdxpvaibaexe8sxrohzbxms+qll1fov2ki,2.0,1.0,2017.0
95200ec7xpvaibaexe+zcbazes7yiqw0mlrivq1d,2.0,1.0,2017.0
b1e1e60cxpvaibaexe8lx4hhykrfzmdukw2kr76x,2.0,1.0,2017.0
673dfb3fxpvaibaexe+pvabtvmwztm2cbdlr9odw,2.0,1.0,2017.0
38baf724xpvaibaexe+tkwu+ol4th1hu9bfjl0mw,2.0,1.0,2017.0
1617ad15xpvaibaexe9asx2ykqk5awkovvf31mk7,2.0,1.0,2017.0
840bdcbdxpvaibaexe8pno0mp3gnin1vxz4xdtfg,2.0,1.0,2017.0
dc88f693xpvaibaexe/z2d1qs9uwocng/k5fncyf,2.0,1.0,2017.0
28f6e5e2xpvaibaexe8ubgvvsbkskghdfrn4cedg,2.0,1.0,2017.0
599dffb8xpvaibaexe879+aog1gh8ljvchsn7o+v,2.0,1.0,2017.0
f5705943xpvaibaexe+1p/4gnbgreyz1sk9mulny,2.0,1.0,2017.0
bdedd44dxpvaibaexe+4hxkfaqwuhaqgsgtqeios,2.0,1.0,2017.0
3e756495xpvaibaexe9p07hcrvmhca0nlhgm6qsn,2.0,1.0,2017.0
8c0e9865xpvaibaexe80ggmwunekt1erejxtk1w6,2.0,1.0,2017.0
603115a9xpvaibaexe9lf2o7vejwnmxlsu7sojkq,2.0,1.0,2017.0
a5889011xpvaibaexe9lf2o7vejwnht67pu11g7v,2.0,1.0,2017.0
9caf3cdbxpvaibaexe83v/kfvw2bbf/inpsmd2jy,2.0,1.0,2017.0
eb858a9expvaibaexe+kwir/vxjl06gmqan1u5lh,2.0,1.0,2017.0
86b0b88fxpvaibaexe9jjgnhrmbjfithgymg4ggs,2.0,1.0,2017.0
5fdef832xpvaibaexe+9gfx9awrori6dojkzvzh+,2.0,1.0,2017.0
412f9f1axpvaibaexe+y4ivhjp8sxlamcnq6fjwh,2.0,1.0,2017.0
f4a91dbbxpvaibaexe+sfu1lch9y3z7zlcd2co7v,2.0,1.0,2017.0
536c59c2xpvaibaexe/+pcsgi7ykee6trdusckew,2.0,1.0,2017.0
