mssv,hocky,namhoc,drl,rank_drl
1da45ce2xpvaibaexe8jolcsaisstcatcgflvvbx,2,2013,67,Kha
5ab8a128xpvaibaexe//3t8+us0x0ntc6jti8i2k,2,2013,29,Kem
81f211bexpvaibaexe9xnw4t0gpgx1aapdjiipdq,2,2013,85,Gioi
90324570xpvaibaexe9xnw4t0gpgxzbh5j/jtjdb,2,2013,80,Gioi
ebfa124expvaibaexe9xnw4t0gpgx7htc6nbck0b,2,2013,78,Kha
8a298ecaxpvaibaexe+phkfqb0+xj+kxhqsu4bqz,2,2013,95,Xuat Sac
f03b1465xpvaibaexe97hu2rthdnnbrrvp91hipv,2,2013,90,Xuat Sac
7e308531xpvaibaexe879+aog1gh8i58q/vmq7ru,2,2013,77,Kha
b1460568xpvaibaexe/asavnwdrs7f+ampj9kbjl,2,2013,94,Xuat Sac
97ce096expvaibaexe8ge2uhv4j4b99t3e9bmk5q,2,2013,55,Trung Binh
1ce4cdb2xpvaibaexe8ge2uhv4j4bys1gt3otwsa,2,2013,86,Gioi
182edddcxpvaibaexe+1p/4gnbgredayjhlzp30b,2,2013,88,Gioi
fe176735xpvaibaexe+1p/4gnbgreq94nptp4/sd,2,2013,48,Yeu
85ab9a11xpvaibaexe+cd1fkelqxl3rmzzdf2nuw,2,2013,63,Trung Binh
a0cbac25xpvaibaexe/pgaannwvbuig+w572qfzr,2,2013,79,Kha
479e77a5xpvaibaexe/pgaannwvbunsider/n3m6,2,2013,63,Trung Binh
4bf55c16xpvaibaexe/pgaannwvbulyxtwnjnzcf,2,2013,54,Trung Binh
a0e35b97xpvaibaexe/pgaannwvbugqebtzipkbn,2,2013,53,Trung Binh
2d110b13xpvaibaexe+lo6ejkhwaqqmgtsf0se6i,2,2013,82,Gioi
c83a25dcxpvaibaexe9x5bpekoa0mpwrb2a9cxkr,2,2013,58,Trung Binh
1ad297ddxpvaibaexe8ckeix0kseeaegfbwnr/en,2,2013,67,Kha
e05f2deaxpvaibaexe83etin4mi2nrg4zhf61jn+,2,2013,67,Kha
f309234expvaibaexe/ykalync3m9+ibo6izj0cn,2,2013,88,Gioi
81d2ab1fxpvaibaexe/ykalync3m9zttf89k7owj,2,2013,82,Gioi
001bb05expvaibaexe/ykalync3m92bzm+vhzyc0,2,2013,76,Kha
29dac8e5xpvaibaexe9ikirwqei6/aabaazmbpha,2,2013,73,Kha
08bc841dxpvaibaexe9ikirwqei6/l0wwllqs16x,2,2013,26,Kem
e934bcd3xpvaibaexe86736b6ol+/mlj5vorqv8u,2,2013,44,Yeu
6941edcfxpvaibaexe9lf2o7vejwnigzwdbexchf,2,2013,95,Xuat Sac
17946c80xpvaibaexe9lf2o7vejwnojr7ptzczwm,2,2013,74,Kha
eb87a112xpvaibaexe+yu1j0ocviqsbxkj24nkqq,2,2013,65,Kha
